Num.;Site;Lieu-dit;Structure;Type;Néo;BA-BM;BF 1;BF 2;BF 3 / Ha anc.;Fer 1;Diamètre (m);TEST;DATE MIN;Taille non-concentrique;Orientation de l’entrée (deg);Commentaire;Coordonnées (Lamb93);Zone privilegié;Bibliographie
2;Balloy;Les Réaudins;Enclos BF;Enclos circulaire;;;;;;;14;14.0000001;ND;;;;712178, 6810306;;Gouge, Mordant et al. 1994
1;Balloy;Bois de Roselle;St 47;Enclos circulaire;;;*;;;;12;12.0000001;BF1;;;;710310, 6813073;;Mahé et al. 1998
3;Balloy;Les Réaudins;Enclos BF;Enclos circulaire;;;;*;;;11.5;11.5000001;BF2;;153.2;Indice de recreusement du fossé;712431, 6810787;;Gouge, Mordant et al. 1994
8;Barbey;Le Chemin de Monterau / Le Buisson Rond;E 1;Double enclos circulaire;;;;;;;22;22.0000001;ND;;;;702780, 6807360;;"Renaud & Gouge 1992; Gouge, Mordant et al. 1994"
4;Barbey;Le Chemin de Monterau / Le Buisson Rond;E 6;Enclos circulaire;;;;;;;21.2;21.2000001;ND;;;Enclos à double entrée;702362, 6807327;;"Renaud & Gouge 1992; Gouge, Mordant et al. 1994"
11;Barbey;Le Chemin de Monterau / La Haute Guyonne;E 5;Enclos circulaire;;;;;;;20;20.0000001;ND;;121.3;;702351, 6807670;;"Renaud & Gouge 1992; Gouge, Mordant et al. 1994"
5;Barbey;Le Chemin de Monterau / Le Buisson Rond;E 7;Enclos circulaire;;;;;;;18.5;18.5000001;ND;;;;702488, 6807321;;"Renaud & Gouge 1992; Gouge, Mordant et al. 1994"
9;Barbey;Le Chemin de Monterau / Le Buisson Rond;E 2;Enclos circulaire interne;;;;;;;13.8;13.8000001;ND;;106.2;A l'intérieur de l'E 1;702777, 6807356;;"Renaud & Gouge 1992; Gouge, Mordant et al. 1994"
10;Barbey;Le Chemin de Monterau / La Haute Guyonne;E 4;Enclos circulaire;;;;;;;12;12.0000001;ND;;129.5;;702280, 6807727;;"Renaud & Gouge 1992; Gouge, Mordant et al. 1994"
7;Barbey;Le Chemin de Monterau / Le Buisson Rond;E 3;Enclos circulaire;;;;;;;11.1;11.1000001;ND;;125.2;;702633, 6807347;;"Renaud & Gouge 1992; Gouge, Mordant et al. 1994"
6;Barbey;Le Chemin de Monterau / Le Buisson Rond;E 8;Enclos circulaire;;;;;;;7;7.0000001;ND;;;;702504, 6807370;;"Renaud & Gouge 1992; Gouge, Mordant et al. 1994"
31;Barbuise-Courtavant;Les Grèves de Villeneuve;E 5;Enclos allongé;;;;;*;;60;60.0000001;BF3;;164.1;Mobilier gallo-romain dans le fossé;743797, 6827887;;"Piette 1999; Chertier 1976b"
30;Barbuise-Courtavant;Les Grèves de Villeneuve;E 3;Enclos allongé;;;;;*;;45;45.0000001;BF3;;166.3;;743767, 6827937;;Piette 1971
21;Barbuise-Courtavant;Les Grèves de Villeneuve;E 18;Enclos circulaire;;;;;;;27;27.0000001;ND;;78.1;;743523, 6827830;;Piette 1999
37;Barbuise-Courtavant;Les Grèves de Villeneuve;E 44 e;Double enclos circulaire;;;;;*;;25;25.0000001;BF3;;;Datation : BF 2 ou 3;743984, 6827979;;"Piette & Mordant 1988; Piette 1999"
20;Barbuise-Courtavant;Les Grèves de Frécul;E 6;Enclos circulaire;;;*;;;;25;25.0000001;BF1;;147.8;;740373, 6826686;;"Piette 1999; Rottier et al. 2012"
25;Barbuise-Courtavant;Les Grèves de Villeneuve;E 6;Enclos allongé;*;;;;*;;23;23.0000001;BF3;;184;;743713, 6827935;;Piette 1972
15;Barbuise-Courtavant;Les Grèves;E 2;Enclos circulaire;;;?;;;;21;21.0000001;ND;;;Probablement BF 1;741850, 6827520;;Lemoine & Sénéchal 1965
22;Barbuise-Courtavant;Les Grèves de Villeneuve;E 24;Enclos circulaire;;;*;;;;21;21.0000001;BF1;;125.1;Datation hypothétique;743665, 6827761;;Piette 1999
40;Barbuise-Courtavant;Les Grèves de Villeneuve;E 49;Enclos circulaire;;;*;;;;20;20.0000001;BF1;;160.8;;744265, 6827919;;Piette 1999
35;Barbuise-Courtavant;Les Grèves de Villeneuve;E 29;Enclos circulaire;;;;;*;;19.5;19.5000001;BF3;;149.1;Datation hypothétique;743901, 6827766;;"Piette 1999; Chertier 1976b"
17;Barbuise-Courtavant;Les Grèves de Frécul;E 7;Enclos circulaire;;;;;;;18.4;18.4000001;ND;;110.2;;740296, 6826743;;"Piette 1999; Rottier et al. 2012"
39;Barbuise-Courtavant;Les Grèves de Villeneuve;E 33;Enclos circulaire;;;;;;;18;18.0000001;ND;;;;744101, 6827745;;"Piette 1999; Denajar 2005, 621"
14;Barbuise-Courtavant;Les Grèves;E 1;Enclos circulaire;;;*;;;;17.8;17.8000001;BF1;;146.9;;741970, 6827524;;Lemoine & Sénéchal 1964
16;Barbuise-Courtavant;Les Grèves;E 5;Enclos circulaire;;;;;;;17.5;17.5000001;ND;;58.9;Localisation problématique;742010, 6827473;;Piette 1999
13;Barbuise-Courtavant;Les Grèves;E 6;Enclos circulaire;;;*;;;;17;17.0000001;BF1;;120.8;Sépulture dite « Morel » ;741886, 6827517;;"Piette 1999; Rottier et al. 2012, 696"
33;Barbuise-Courtavant;Les Grèves de Villeneuve;E 12;Enclos circulaire;;;;*;*;*;17;17.0000001;BF2;;192.5;;743824, 6827944;;"Piette 1999; Chertier 1976b"
36;Barbuise-Courtavant;Les Grèves de Villeneuve;E 44 i;Enclos circulaire interne;;;;*;*;;17;17.0000001;BF2;;171.1;;743984, 6827978;;"Piette & Mordant 1988; Piette 1999"
28;Barbuise-Courtavant;Les Grèves de Villeneuve;E 2;Enclos circulaire;;;;;*;;16;16.0000001;BF3;;157.7;;743754, 6827915;;Piette 1971
29;Barbuise-Courtavant;Les Grèves de Villeneuve;E 1;Enclos circulaire;;;;;*;;16;16.0000001;BF3;;151.5;;743764, 6827861;;Piette 1971
34;Barbuise-Courtavant;Les Grèves de Villeneuve;E 14;Enclos circulaire;;;;;;;15.5;15.5000001;ND;;155.1;;743828, 6827835;;"Piette 1999; Chertier1978"
